period,account,value
2021,revenue,800000
2021,cogs,640000
2021,gross_profit,160000
2021,net_income,40000
2021,current_assets,300000
2021,current_liabilities,200000
2021,accounts_receivable,80000
2021,accounts_payable,50000
2021,inventory,60000
2021,shareholders_equity,300000
2022,revenue,840000
2022,cogs,672000
2022,gross_profit,168000
2022,net_income,42000
2022,current_assets,315000
2022,current_liabilities,210000
2022,accounts_receivable,84000
2022,accounts_payable,52500
2022,inventory,63000
2022,shareholders_equity,315000
2023,revenue,882000
2023,cogs,705600
2023,gross_profit,176400
2023,net_income,44100
2023,current_assets,330750
2023,current_liabilities,220500
2023,accounts_receivable,88200
2023,accounts_payable,55125
2023,inventory,66150
2023,shareholders_equity,330750
2024,revenue,926100
2024,cogs,740880
2024,gross_profit,185220
2024,net_income,46305
2024,current_assets,347288
2024,current_liabilities,231525
2024,accounts_receivable,92610
2024,accounts_payable,57881
2024,inventory,69458
2024,shareholders_equity,347288 
