period,account,value
2022,total current assets,1200000
2022,total current liabilities,700000
2022,accounts receivable,600000
2022,inventory,400000
2022,accounts payable,350000
2022,total assets,4500000
2022,total liabilities,2000000
2022,shareholders' equity,2500000
2023,total current assets,1400000
2023,total current liabilities,800000
2023,accounts receivable,650000
2023,inventory,420000
2023,accounts payable,370000
2023,total assets,5000000
2023,total liabilities,2200000
2023,shareholders' equity,2800000
2024,total current assets,1600000
2024,total current liabilities,900000
2024,accounts receivable,700000
2024,inventory,450000
2024,accounts payable,400000
2024,total assets,5500000
2024,total liabilities,2400000
2024,shareholders' equity,3100000


