period,account,value
2021,revenue,1200000
2021,cogs,720000
2021,gross_profit,480000
2021,net_income,180000
2021,current_assets,500000
2021,current_liabilities,250000
2021,accounts_receivable,120000
2021,accounts_payable,60000
2021,inventory,80000
2021,shareholders_equity,600000
2022,revenue,1380000
2022,cogs,828000
2022,gross_profit,552000
2022,net_income,207000
2022,current_assets,575000
2022,current_liabilities,287500
2022,accounts_receivable,138000
2022,accounts_payable,69000
2022,inventory,92000
2022,shareholders_equity,690000
2023,revenue,1587000
2023,cogs,952200
2023,gross_profit,634800
2023,net_income,238050
2023,current_assets,661250
2023,current_liabilities,330625
2023,accounts_receivable,158700
2023,accounts_payable,79350
2023,inventory,105800
2023,shareholders_equity,793500
2024,revenue,1825050
2024,cogs,1095030
2024,gross_profit,730020
2024,net_income,273758
2024,current_assets,760438
2024,current_liabilities,380219
2024,accounts_receivable,182505
2024,accounts_payable,91253
2024,inventory,121670
2024,shareholders_equity,912525 
