period,account,value
2022,net cash from operating activities,700000
2022,net cash used in investing activities,-200000
2022,net cash from financing activities,-100000
2022,net change in cash,400000
2023,net cash from operating activities,750000
2023,net cash used in investing activities,-250000
2023,net cash from financing activities,-150000
2023,net change in cash,350000
2024,net cash from operating activities,900000
2024,net cash used in investing activities,-300000
2024,net cash from financing activities,-200000
2024,net change in cash,400000


